Date,Open,High,Low,Close,Adj Close,Volume
2023-02-03,447.000000,450.799988,442.350006,445.450012,445.450012,13067403
2023-02-06,444.450012,447.000000,439.549988,442.000000,442.000000,6795084
2023-02-07,441.700012,443.399994,432.899994,435.450012,435.450012,9023645
2023-02-08,435.450012,441.000000,431.549988,440.100006,440.100006,8668267
2023-02-09,440.000000,440.700012,433.549988,436.750000,436.750000,7349418
2023-02-10,437.950012,447.799988,431.200012,445.850006,445.850006,14798390
2023-02-13,445.500000,446.899994,438.899994,441.049988,441.049988,8333767
2023-02-14,442.000000,444.299988,434.399994,440.549988,440.549988,8565559
2023-02-15,438.500000,444.899994,438.149994,444.149994,444.149994,9857016
2023-02-16,445.000000,448.250000,440.500000,441.600006,441.600006,7670688
2023-02-17,436.000000,442.450012,436.000000,439.899994,439.899994,6955445
2023-02-20,441.799988,445.299988,436.250000,443.000000,443.000000,9717197
2023-02-21,445.200012,445.200012,435.250000,436.500000,436.500000,8957930
2023-02-22,435.299988,435.850006,428.250000,429.450012,429.450012,7209130
2023-02-23,428.649994,436.450012,427.200012,433.200012,433.200012,9278920
2023-02-24,435.399994,436.700012,427.000000,427.750000,427.750000,7895024
2023-02-27,427.750000,428.049988,413.049988,417.950012,417.950012,10438928
2023-02-28,419.000000,424.799988,419.000000,420.700012,420.700012,9652088
2023-03-01,421.500000,428.000000,421.500000,426.000000,426.000000,7595114
2023-03-02,426.000000,426.250000,419.549988,420.450012,420.450012,5661103
2023-03-03,422.600006,430.500000,421.950012,428.000000,428.000000,8027522
2023-03-06,430.950012,441.450012,430.000000,440.100006,440.100006,11307064
2023-03-08,439.000000,441.250000,436.100006,439.299988,439.299988,7850052
2023-03-09,439.100006,442.049988,431.299988,432.200012,432.200012,5696737
2023-03-10,433.000000,437.799988,430.799988,435.850006,435.850006,10417015
2023-03-13,436.100006,437.000000,419.100006,422.399994,422.399994,8780169
2023-03-14,422.850006,424.200012,413.399994,416.649994,416.649994,9189043
2023-03-15,422.000000,425.000000,410.100006,411.350006,411.350006,7681009
2023-03-16,413.299988,418.500000,405.000000,415.700012,415.700012,11854885
